,Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
99,Oman,"399,449","4,628                                ","384,669","10,152",,,"25,000,000","5,323,993 "
100,North Macedonia,"349,618","9,949                                ","337,068","2,601",,,"2,226,216","2,081,304 "
101,Zambia,"349,287","4,069                                ","341,316","3,902",,,"4,112,961","19,470,234 "
102,Kenya,"344,130","5,689                                ","337,309","1,132",,,"3,967,062","56,215,221 "
103,Albania,"334,726","3,602                                ","329,428","1,696",,,"1,941,032","2,866,374 "
104,Botswana,"330,360","2,801                                ","327,049",510,,,"2,026,898","2,441,162 "
105,Luxembourg,"319,959","1,232                                ","316,690","2,037",,,"4,587,145","642,371 "
106,Brunei ,"312,892",225                                ,"243,601","69,066",,,"717,784","445,431 "
107,Montenegro,"294,531","2,834                                ","291,130",567,,,"2,764,972","627,950 "
108,Algeria,"271,958","6,881                                ","183,061","82,016",,,"230,960","45,350,148 "
109,Nigeria,"267,146","3,155                                ","259,953","4,038",,,"5,708,974","216,746,934 "
110,Zimbabwe,"265,848","5,723                                ","258,888","1,237",,,"2,525,756","15,331,428 "
111,Uzbekistan,"253,662","1,637                                ","241,486","10,539",,,"1,377,915","34,382,084 "
112,Mozambique,"233,654","2,249                                ","228,805","2,600",,,"1,371,127","33,089,461 "
113,Martinique,"230,354","1,102                                ",N/A,N/A,,,"828,928","374,087 "
114,Afghanistan,"228,383","7,961                                ","207,929","12,493",+66,+3,"1,328,738","40,754,388 "
115,Laos,"218,895",758                                ,N/A,N/A,+1,,"1,233,207","7,481,023 "
116,Iceland,"209,191",229                                ,N/A,N/A,,,"1,996,384","345,393 "
117,Kyrgyzstan,"206,897","2,991                                ","196,406","7,500",,,"1,907,195","6,728,271 "
118,Guadeloupe,"203,235","1,021                                ",N/A,N/A,,,"938,039","399,794 "
119,El Salvador,"201,809","4,230                                ","179,410","18,169",,,"2,610,114","6,550,389 "
120,Trinidad and Tobago,"191,496","4,390                                ","187,078",28,,,"913,289","1,406,585 "
121,Maldives,"186,694",316                                ,"163,687","22,691",,,"2,213,831","540,985 "
122,Namibia,"172,132","4,100                                ","167,099",933,,,"1,062,663","2,633,874 "
123,Uganda,"171,983","3,632                                ","100,431","67,920",,,"3,012,408","48,432,863 "
